,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
49,22100025,1610612747,Lakers,LAL,Los Angeles,240:00,34.0,86.0,0.395,15.0,34.0,0.441,22.0,29.0,0.759,12.0,34.0,46.0,25.0,7.0,3.0,16.0,26.0,105.0,-10.0
50,22100026,1610612762,Jazz,UTA,Utah,240:00,37.0,90.0,0.41100000000000003,16.0,42.0,0.381,20.0,23.0,0.87,13.0,38.0,51.0,16.0,14.0,3.0,17.0,17.0,110.0,9.0
51,22100026,1610612758,Kings,SAC,Sacramento,240:00,39.0,99.0,0.39399999999999996,8.0,36.0,0.222,15.0,21.0,0.7140000000000001,16.0,36.0,52.0,20.0,15.0,5.0,15.0,22.0,101.0,-9.0
52,22100027,1610612739,Cavaliers,CLE,Cleveland,240:00,37.0,89.0,0.416,7.0,28.0,0.25,20.0,27.0,0.741,12.0,42.0,54.0,23.0,6.0,6.0,10.0,16.0,101.0,6.0
53,22100027,1610612737,Hawks,ATL,Atlanta,240:00,38.0,99.0,0.384,10.0,34.0,0.294,9.0,15.0,0.6,17.0,37.0,54.0,20.0,5.0,3.0,9.0,23.0,95.0,-6.0
54,22100028,1610612748,Heat,MIA,Miami,265:00,35.0,91.0,0.385,9.0,33.0,0.273,12.0,14.0,0.857,10.0,45.0,55.0,18.0,4.0,2.0,22.0,25.0,91.0,-11.0
55,22100028,1610612754,Pacers,IND,Indiana,265:00,38.0,97.0,0.392,10.0,39.0,0.256,16.0,21.0,0.762,14.0,41.0,55.0,18.0,10.0,5.0,16.0,18.0,102.0,11.0
56,22100029,1610612761,Raptors,TOR,Toronto,240:00,34.0,85.0,0.4,11.0,37.0,0.297,16.0,23.0,0.696,11.0,38.0,49.0,17.0,7.0,6.0,12.0,23.0,95.0,-8.0
57,22100029,1610612742,Mavericks,DAL,Dallas,240:00,38.0,91.0,0.418,14.0,42.0,0.333,13.0,18.0,0.722,13.0,37.0,50.0,24.0,6.0,6.0,9.0,22.0,103.0,8.0
58,22100030,1610612765,Pistons,DET,Detroit,240:00,34.0,88.0,0.386,5.0,28.0,0.179,9.0,15.0,0.6,11.0,42.0,53.0,14.0,9.0,8.0,20.0,17.0,82.0,-15.0
